Time,TS1_CRIW,TS2_CRIW,TS3_CRIW,TS4_CRIW,TS5_CRIW
1,0.182,0.544,0.668,0.419,0.437
1,0.184,0.546,0.71,0.266,0.442
1,0.184,0.546,0.71,0.266,0.442
2,0.184,0.546,0.71,0.266,0.442
3,0.184,0.546,0.733,0.418,0.442
4,0.337,0.547,0.77,0.418,0.437
5,0.337,0.547,0.77,0.418,0.437
6,0.337,0.547,0.77,0.418,0.437
7,0.337,0.547,0.77,0.418,0.437
8,0.337,0.547,0.77,0.418,0.437
9,0.337,0.547,0.761,0.418,0.437
10,0.337,0.548,0.76,0.418,0.437
11,0.337,0.548,0.76,0.418,0.437
12,0.337,0.548,0.76,0.418,0.437
13,0.337,0.548,0.76,0.418,0.437
14,0.337,0.548,0.76,0.418,0.437
15,0.337,0.548,0.76,0.418,0.437
16,0.337,0.548,0.76,0.418,0.437
17,0.337,0.544,0.705,0.419,0.441
18,0.337,0.544,0.705,0.419,0.441
19,0.337,0.544,0.705,0.419,0.441
20,0.337,0.544,0.705,0.419,0.441
21,0.337,0.544,0.705,0.419,0.441
22,0.337,0.544,0.705,0.419,0.441
23,0.337,0.545,0.761,0.418,0.441
24,0.337,0.543,0.773,0.418,0.44
25,0.337,0.543,0.773,0.418,0.44
26,0.337,0.543,0.773,0.418,0.44
27,0.337,0.543,0.773,0.418,0.44
28,0.337,0.543,0.773,0.418,0.44
29,0.337,0.543,0.775,0.418,0.44
30,0.182,0.545,0.766,0.418,0.438
31,0.182,0.545,0.766,0.418,0.438
32,0.182,0.545,0.766,0.418,0.438
33,0.182,0.545,0.766,0.418,0.44
34,0.182,0.545,0.766,0.418,0.44
35,0.182,0.545,0.766,0.418,0.44
36,0.182,0.545,0.742,0.418,0.44
37,0.337,0.546,0.751,0.418,0.44
38,0.337,0.546,0.751,0.418,0.44
39,0.337,0.546,0.751,0.418,0.44
40,0.337,0.546,0.751,0.418,0.44
41,0.337,0.546,0.751,0.418,0.44
42,0.337,0.546,0.751,0.418,0.44
43,0.337,0.546,0.745,0.418,0.44
44,0.337,0.549,0.775,0.418,0.443
45,0.337,0.549,0.775,0.418,0.443
46,0.337,0.549,0.775,0.418,0.443
47,0.337,0.549,0.775,0.418,0.443
48,0.337,0.549,0.775,0.418,0.443
49,0.337,0.549,0.77,0.418,0.443
50,0.337,0.543,0.775,0.418,0.442
51,0.337,0.543,0.775,0.418,0.442
52,0.337,0.543,0.775,0.418,0.442
53,0.337,0.543,0.775,0.418,0.442
54,0.337,0.543,0.775,0.418,0.442
55,0.337,0.543,0.775,0.418,0.442
56,0.337,0.543,0.775,0.418,0.442
57,0.337,0.543,0.769,0.418,0.441
58,0.337,0.543,0.769,0.418,0.441
59,0.337,0.543,0.769,0.418,0.441
60,0.337,0.543,0.769,0.418,0.441
61,0.337,0.543,0.769,0.418,0.441
62,0.337,0.543,0.769,0.418,0.441
63,0.337,0.543,0.769,0.418,0.441
64,0.337,0.543,0.72,0.266,0.441
65,0.183,0.546,0.678,0.291,0.437
66,0.183,0.546,0.678,0.291,0.437
67,0.183,0.546,0.678,0.291,0.437
68,0.183,0.546,0.678,0.291,0.437
69,0.183,0.546,0.678,0.291,0.437
70,0.183,0.546,0.678,0.291,0.437
71,0.183,0.546,0.678,0.291,0.437
72,0.22,0.548,0.729,0.418,0.437
73,0.209,0.549,0.739,0.418,0.44
74,0.209,0.549,0.739,0.418,0.44
75,0.209,0.549,0.739,0.418,0.44
76,0.209,0.549,0.739,0.418,0.44
77,0.209,0.549,0.739,0.418,0.44
78,0.209,0.549,0.739,0.418,0.44
79,0.209,0.549,0.739,0.418,0.44
80,0.209,0.549,0.746,0.418,0.44
81,0.337,0.545,0.746,0.418,0.44
82,0.337,0.544,0.775,0.418,0.44
83,0.337,0.544,0.775,0.418,0.44
84,0.337,0.544,0.775,0.418,0.44
85,0.337,0.544,0.775,0.418,0.44
86,0.337,0.544,0.757,0.418,0.44
87,0.337,0.544,0.689,0.418,0.438
88,0.337,0.544,0.689,0.418,0.438
89,0.337,0.544,0.689,0.418,0.438
90,0.337,0.544,0.689,0.418,0.438
91,0.337,0.544,0.689,0.269,0.438
92,0.337,0.544,0.689,0.269,0.438
93,0.337,0.544,0.689,0.269,0.438
94,0.337,0.543,0.738,0.418,0.439
95,0.337,0.543,0.738,0.418,0.439
96,0.337,0.543,0.738,0.418,0.439
97,0.337,0.543,0.738,0.418,0.439
98,0.337,0.543,0.761,0.418,0.439
99,0.337,0.549,0.751,0.418,0.441
100,0.337,0.549,0.751,0.418,0.441
101,0.337,0.549,0.751,0.418,0.441
102,0.337,0.549,0.751,0.418,0.441
103,0.337,0.549,0.751,0.418,0.302
104,0.337,0.549,0.751,0.418,0.302
105,0.337,0.549,0.751,0.418,0.302
106,0.337,0.543,0.735,0.418,0.302
107,0.337,0.543,0.735,0.418,0.302
108,0.337,0.543,0.735,0.418,0.302
109,0.337,0.543,0.735,0.418,0.302
110,0.337,0.543,0.735,0.418,0.302
111,0.337,0.543,0.745,0.418,0.438
112,0.337,0.543,0.745,0.418,0.438
113,0.337,0.544,0.681,0.418,0.438
114,0.337,0.544,0.676,0.418,0.439
115,0.337,0.544,0.676,0.418,0.438
116,0.337,0.544,0.676,0.418,0.438
117,0.337,0.544,0.676,0.418,0.438
118,0.337,0.544,0.676,0.418,0.438
119,0.337,0.544,0.676,0.419,0.438
120,0.337,0.544,0.751,0.419,0.437
121,0.337,0.543,0.732,0.267,0.437
122,0.337,0.543,0.732,0.267,0.437
123,0.337,0.543,0.732,0.267,0.437
124,0.337,0.543,0.732,0.267,0.437
125,0.337,0.543,0.732,0.267,0.437
126,0.337,0.548,0.737,0.418,0.437
127,0.337,0.546,0.751,0.418,0.296
128,0.337,0.546,0.751,0.418,0.296
129,0.337,0.546,0.751,0.418,0.296
130,0.337,0.546,0.751,0.418,0.296
131,0.337,0.546,0.751,0.418,0.296
132,0.337,0.546,0.751,0.418,0.296
133,0.337,0.546,0.751,0.418,0.296
134,0.337,0.546,0.722,0.418,0.296
135,0.337,0.547,0.677,0.268,0.438
136,0.337,0.547,0.677,0.268,0.438
137,0.337,0.547,0.677,0.268,0.438
138,0.337,0.547,0.677,0.268,0.438
139,0.337,0.547,0.677,0.268,0.438
140,0.337,0.547,0.669,0.167,0.438
141,0.337,0.543,0.677,0.309,0.438
142,0.337,0.543,0.677,0.309,0.438
143,0.337,0.543,0.677,0.309,0.438
144,0.337,0.543,0.677,0.309,0.438
145,0.337,0.543,0.677,0.309,0.438
146,0.337,0.543,0.677,0.309,0.438
147,0.337,0.543,0.677,0.309,0.438
148,0.337,0.543,0.705,0.266,0.438
149,0.337,0.544,0.742,0.418,0.44
150,0.337,0.544,0.742,0.418,0.44
151,0.337,0.544,0.742,0.418,0.44
152,0.337,0.544,0.742,0.418,0.44
153,0.337,0.544,0.742,0.419,0.44
154,0.337,0.549,0.71,0.266,0.439
155,0.337,0.549,0.71,0.266,0.439
156,0.337,0.549,0.71,0.266,0.439
